Anneli, 少女|女性|明るい|優しそう
Anneli-nsfw, 少女|女性|おっとり|大人しい
Lunatako, 大人|女性|物静か|大人しい|優しい
m8m2, 大人|男性|賢そう|好青年
Vermariss, 少女|優しい|透明感|
tsuluyomiman,青年|男性|優しそう
NAJ_itako,女性|落ち着いている|優しそう
TokiIta_ms2,女性|暗い|落ち着いている
MS2_F2,女性|元気いっぱい|ハキハキ
m8m2_n1,青年|ハキハキ|
Luna_ms32,大人|女性|おっとり|ゆっくり|マイペース
KTo_m8m2,少年|落ち着いた|暗い
KTO_ms2f2,少年|明るい|ハキハキ
elu_ms2,少年|中性的|落ち着いている
elu_ms8,少年|落ち着いている
elu_ita_ms2,若い女性|落ち着いている
elu_ms2_07,少年|少女|中性的|落ち着いている
luna_m8m2,声の高い男性|声の低い女性|ハキハキ
anneli_ms32,若い女性|可愛い女性|落ち着いている
ita_an_ms32,若い女性|気が強そう|ハキハキしている
an_itax,若い女性|ハリのある声|元気
anns_itax,若い女性|不安そう
base_ita,若い女性|ハリのある声
base_ita_kirims2,若い女性|落ち着いている
an_tuku_m8m2n1,少年|この低い少女|元気
an_tuku_m8m2n1_2,少年|落ち着いている
m8m2_an,オカマっぽい|男の子
m8m2_itam32,声の低い女性|ゆっくり|落ち着いている
ms6_an,女性|軽い声|通る声
ms72_an,若い女性|落ち着いた声
ms72_v,可愛い女性|落ち着いた雰囲気
ms8_v,青年|落ち着いた雰囲気
ms8_v2,好青年|落ち着いた雰囲気
